╔════════════════════════════════════════════════════════════════════╗
║         HOLONIC REALMS SDL2 GUI - SIMULATION VIEWER              ║
║   Real-time visualization of cosmological emergence                 ║
╚════════════════════════════════════════════════════════════════════╝

Initializing SDL2 subsystems...
Window created successfully
Initializing WGPU...
GPU adapter found: AdapterInfo { name: "NVIDIA GeForce RTX 2060 SUPER", vendor: 4318, device: 7942, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "590.48.01", backend: Vulkan }
WGPU initialized successfully
Surface format: Bgra8UnormSrgb
Surface size: 960x1080
Created 100 entities and 4 collective groups

════════════════════════════════════════════════════════════════════
STARTING SDL2 GUI
════════════════════════════════════════════════════════════════════

Controls:
  WASD/Arrows: Pan camera
  +/-: Zoom in/out
  1: Toggle Entity Visualization
  2: Toggle Spectrum Visualization
  3: Toggle Emergence Visualization
  4: Toggle Collective Visualization
  P: Toggle Performance Display
  F11: Toggle Fullscreen
  ESC: Exit
  Shift+C: Copy entity info to clipboard
  Shift+V: Paste from clipboard

Window focused
FPS: 3911.4 | Frame: 0.256ms | Event: 0.024ms | Render: 0.230ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3917.8 | Frame: 0.255ms | Event: 0.024ms | Render: 0.229ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3928.2 | Frame: 0.255ms | Event: 0.024ms | Render: 0.229ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3925.3 | Frame: 0.255ms | Event: 0.024ms | Render: 0.229ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3936.9 | Frame: 0.254ms | Event: 0.024ms | Render: 0.228ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3952.4 | Frame: 0.253ms | Event: 0.024ms | Render: 0.228ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3971.5 | Frame: 0.252ms | Event: 0.024ms | Render: 0.226ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 3989.8 | Frame: 0.251ms | Event: 0.023ms | Render: 0.225ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4013.8 | Frame: 0.249ms | Event: 0.023ms | Render: 0.224ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4029.7 | Frame: 0.248ms | Event: 0.023ms | Render: 0.223ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4055.1 | Frame: 0.247ms | Event: 0.023ms | Render: 0.222ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
FPS: 4067.2 | Frame: 0.246ms | Event: 0.023ms | Render: 0.221ms | Entities: 100 | Zoom: 1.00 | Spectrum: 0.50
